#{"t_start": 1789049545.821065, "env_id": "None"}
r,l,t
258.2,58,2.129672
72.3,59,2.244515
315.8,60,2.355318
85.9,70,2.471152
299.6,55,2.572512
-33.6,48,2.669223
46.6,65,2.792306
8.3,62,2.909469
54.4,50,3.005218
-17.8,38,3.07584
292.2,60,3.189331
284.2,44,3.289155
288.9,58,3.389733
302.2,66,3.494525
-14.9,46,3.572228
341.0,41,3.641886
30.0,54,3.726739
-63.4,58,3.82862
-27.7,54,3.929049
-130.4,56,4.02315
312.2,65,4.125369
274.7,82,4.254948
23.6,70,4.376472
-11.4,30,4.425347
88.1,79,4.550665
-46.5,66,4.658785
59.1,48,4.7375
35.4,39,4.800107
24.0,46,4.874196
286.3,80,5.026731
296.2,60,5.153956
24.8,60,5.279131
307.2,60,5.405
-39.7,32,5.473756
-34.8,33,5.54354
56.6,69,5.656563
42.5,73,8.230415
5.7,76,8.413829
-47.3,27,8.507437
-66.3,50,8.640877
311.0,62,8.756243
105.4,74,8.876378
25.9,67,8.981153
26.9,68,9.098895
307.2,99,9.27013
-75.6,39,9.333309
38.6,50,9.413463
18.9,31,9.465686
254.5,60,9.563513
46.3,55,9.65026
26.7,59,9.749279
82.5,66,9.853802
17.9,71,9.968702
298.1,60,10.066584
341.2,71,10.177631
283.9,76,10.316292
40.8,46,10.391171
287.2,56,10.48774
327.2,64,10.594296
57.5,60,10.693609
278.3,64,10.796855
47.1,52,10.87987
321.0,54,10.967145
60.4,72,11.083995
342.5,65,11.187965
-88.4,63,11.286575
298.5,95,11.443112
297.2,60,11.535827
94.3,77,11.668709
331.2,65,13.840008
-52.6,58,13.931009
-80.7,48,14.009701
362.2,76,14.130364
293.3,71,14.246092
283.2,68,14.354791
20.6,37,14.414075
297.2,50,14.493112
26.7,52,14.57457
-60.2,43,14.645345
300.9,72,14.766043
46.8,61,14.861297
54.4,83,14.99374
85.4,63,15.097622
-45.1,33,15.150692
-100.3,49,15.229717
-66.3,41,15.295236
3.6,36,15.352412
28.8,69,15.460329
58.7,58,15.550926
40.9,54,15.635705
309.2,69,15.755445
311.0,64,15.856437
38.0,73,15.971649
-0.7,71,16.085383
289.0,60,16.17892
-20.4,51,16.260195
-58.2,14,16.28331
30.2,42,16.350553
8.6,45,16.420834
74.1,76,16.551555
302.2,52,16.640866
302.2,50,16.724439
18.9,58,16.828773
-71.1,75,16.958186
292.2,62,17.064925
-44.4,46,19.585545
265.8,74,19.768595
56.8,63,19.913591
-42.8,39,19.975866
28.4,49,20.057409
-52.1,44,20.129557
257.2,65,20.240692
310.2,78,20.3705
305.7,70,20.510187
-11.4,26,20.566458
-95.3,46,20.652122
312.2,71,20.786982
332.9,63,20.899137
-23.1,33,20.975059
257.3,56,21.077979
1.5,75,21.207855
-24.2,48,21.284464
-24.0,59,21.379085
64.1,59,21.474182
62.1,79,21.613121
2.4,38,21.676716
-27.1,46,21.7505
-4.1,78,21.904473
-1.4,30,21.957729
311.9,71,22.090163
18.6,55,22.179657
-16.4,49,22.268434
-1.4,57,22.446728
-84.1,41,22.671165
312.2,51,22.802451
10.4,70,22.918535
271.1,58,23.019763
43.5,65,23.125157
-99.3,36,23.183681
30.4,43,23.273361
0.8,57,23.370087
-63.1,41,23.43583
289.2,54,25.822546
50.6,55,25.910148
-7.1,61,26.004369
267.2,66,26.112653
317.2,72,26.225204
315.7,67,26.329217
-88.6,51,26.410391
-80.0,36,26.474862
-13.6,38,26.5409
47.4,55,26.635777
-25.8,58,26.736692
8.4,52,26.829698
-1.0,87,26.989852
68.7,69,27.135095
-51.1,37,27.212307
-10.5,53,27.306835
-4.8,73,27.459607
25.1,94,27.625556
287.4,66,27.74513
287.2,53,27.836399
352.2,75,27.956526
307.2,64,28.073492
291.2,49,28.177426
38.0,66,28.330073
-49.3,46,28.418314
246.0,71,28.536596
-31.6,90,28.691006
307.2,64,28.797648
49.8,68,28.919863
-111.7,10,28.938571
-45.5,29,28.992303
270.6,67,29.123751
-80.9,51,29.224362
11.5,66,29.367099
277.2,52,29.457149
-1.4,33,31.799634
12.4,68,31.90839
22.1,76,32.028462
289.4,77,32.17061
35.4,39,32.235075
-65.6,52,32.322169
50.7,54,32.436041
317.4,70,32.666718
21.2,38,32.744711
297.2,56,32.864425
-45.2,52,32.972906
-14.6,63,33.094795
24.8,61,33.206347
281.0,62,33.324836
270.9,62,33.462194
56.5,65,33.584911
42.3,75,33.717997
312.2,48,33.810567
302.2,62,33.921046
304.7,82,34.057593
346.2,57,34.158508
302.2,48,34.242088
-165.2,69,34.350697
301.0,66,34.4557
11.8,52,34.54146
55.4,56,34.639651
36.0,65,34.767433
-7.0,52,34.862534
75.4,41,34.944657
22.7,78,35.100881
339.6,74,35.235842
-44.8,49,35.315295
14.9,85,35.455194
-17.4,46,35.541928
-3.2,47,38.056432
280.8,69,38.189673
55.3,50,38.287277
-64.0,39,38.35771
312.2,68,38.464804
-71.7,53,38.552171
-40.7,47,38.642053
63.7,88,38.805727
289.2,64,38.907154
-131.8,20,38.947405
305.2,52,39.054198
284.9,84,39.200734
18.4,59,39.2974
-49.6,35,39.354945
18.6,42,39.432275
0.9,38,39.50325
282.5,83,39.656632
300.7,71,39.786252
303.9,62,39.892712
-91.3,52,39.980458
92.1,72,40.103796
-34.8,42,40.17281
307.2,65,40.276909
10.6,64,40.381929
89.8,69,40.511407
-38.9,69,40.633672
35.3,59,40.746473
-45.9,48,40.839083
3.3,60,40.954765
36.7,77,41.118953
-2.4,33,41.182836
282.2,43,41.2633
-51.6,40,41.346782
55.4,51,41.43416
-6.2,51,41.520157
-18.3,66,41.640294
329.7,67,44.120581
69.5,57,44.222493
324.2,74,44.34982
38.3,83,44.507388
102.9,73,44.636466
-106.1,60,44.739715
281.9,87,44.906973
44.5,55,45.011631
330.8,77,45.152292
-66.4,67,45.292069
287.2,73,45.434427
-27.9,50,45.592837
272.1,68,45.747241
-4.6,72,45.877702
38.2,53,45.974795
70.0,106,46.235093
30.2,52,46.461888
277.9,57,46.600422
310.2,64,46.709065
-49.2,29,46.758554
80.4,65,46.860941
-86.1,56,46.950863
282.3,60,47.049067
-89.6,36,47.108749
-36.7,60,47.204738
317.2,65,47.317038
11.0,67,47.433268
260.5,61,47.549712
287.4,85,47.684859
7.3,72,47.796839
289.3,68,47.913782
322.1,73,48.040134
26.8,47,50.401721
246.0,71,50.51657
302.2,51,50.595398
-135.8,49,50.673857
312.2,68,50.78386
263.7,79,50.924272
42.5,66,51.03538
-11.3,51,51.118252
29.3,56,51.219899
271.4,81,51.351401
-42.2,62,51.46675
-25.9,46,51.543253
-98.6,28,51.587722
-75.3,33,51.654109
-67.9,46,51.726957
314.5,50,51.807934
317.2,94,51.957847
279.1,58,52.051223
46.9,87,52.198234
-11.8,50,52.284642
-100.0,37,52.343559
301.0,68,52.458259
-69.0,41,52.528662
273.3,55,52.629074
277.2,60,52.725596
-23.9,51,52.806598
-67.1,33,52.86022
-6.0,27,52.903273
-56.4,52,52.98679
-124.7,44,53.062217
271.5,56,53.173275
51.4,87,53.331639
255.9,57,53.421426
44.1,93,53.578894
304.1,72,53.692979
307.2,50,56.058921
255.4,53,56.144453
-26.7,47,56.21989
311.0,57,56.335002
318.2,57,56.423143
51.5,80,56.563475
